Abbreviation,TeamName,GridPosition,Position,Points,Year,Circuit,RaceName,QualiDeltaToPole,QualiDeltaToTeammate,QualiBestTimeSec,TeamMomentum
TSU,AlphaTauri,16.0,16.0,0.0,2021,Monte Carlo,Monaco Grand Prix,1.75,1.196,72.096,2.6666666666666665
GAS,AlphaTauri,4.0,3.0,15.0,2021,Baku,Azerbaijan Grand Prix,0.347,-0.089,101.565,2.0
TSU,AlphaTauri,7.0,7.0,6.0,2021,Baku,Azerbaijan Grand Prix,0.436,0.089,101.654,7.333333333333334
GAS,AlphaTauri,6.0,7.0,6.0,2021,Le Castellet,French Grand Prix,0.878,0.0,90.868,4.0
TSU,AlphaTauri,0.0,13.0,0.0,2021,Le Castellet,French Grand Prix,2.0,0.0,82.3725,6.333333333333334
TSU,AlphaTauri,11.0,10.0,1.0,2021,Spielberg,Styrian Grand Prix,0.673,0.278,64.514,-3.666666666666667
GAS,AlphaTauri,6.0,20.0,0.0,2021,Spielberg,Styrian Grand Prix,0.395,-0.278,64.236,-4.666666666666666
GAS,AlphaTauri,6.0,9.0,2.0,2021,Spielberg,Austrian Grand Prix,0.387,-0.166,64.107,-8.666666666666666
TSU,AlphaTauri,7.0,12.0,0.0,2021,Spielberg,Austrian Grand Prix,0.553,0.166,64.273,-3.0
TSU,AlphaTauri,16.0,10.0,1.0,2021,Silverstone,British Grand Prix,2.02,0.77,88.043,-1.666666666666667
GAS,AlphaTauri,11.0,11.0,0.0,2021,Silverstone,British Grand Prix,1.25,-0.77,87.273,0.6666666666666667
GAS,AlphaTauri,5.0,5.0,11.0,2021,Budapest,Hungarian Grand Prix,0.975,-1.525,76.394,-0.6666666666666667
TSU,AlphaTauri,16.0,6.0,8.0,2021,Budapest,Hungarian Grand Prix,2.5,1.525,77.919,3.3333333333333335
GAS,AlphaTauri,6.0,6.0,4.0,2021,Spa-Francorchamps,Belgian Grand Prix,0.415,-5.973,116.44,5.333333333333333
TSU,AlphaTauri,16.0,15.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,6.388,5.973,122.413,7.333333333333334
GAS,AlphaTauri,4.0,4.0,12.0,2021,Zandvoort,Dutch Grand Prix,0.593,-0.984,69.478,0.0
TSU,AlphaTauri,14.0,19.0,0.0,2021,Zandvoort,Dutch Grand Prix,1.577,0.984,70.462,-1.0
GAS,AlphaTauri,0.0,19.0,0.0,2021,Monza,Italian Grand Prix,0.705,-1.451,80.26,-3.666666666666667
TSU,AlphaTauri,0.0,20.0,0.0,2021,Monza,Italian Grand Prix,2.156,1.451,81.711,0.0
GAS,AlphaTauri,11.0,13.0,0.0,2021,Sochi,Russian Grand Prix,4.648,-0.11,106.641,-5.333333333333333
TSU,AlphaTauri,12.0,17.0,0.0,2021,Sochi,Russian Grand Prix,4.758,0.11,106.751,-4.0
GAS,AlphaTauri,4.0,6.0,8.0,2021,Istanbul,Turkish Grand Prix,0.458,-0.728,83.326,-4.0
TSU,AlphaTauri,9.0,14.0,0.0,2021,Istanbul,Turkish Grand Prix,1.186,0.728,84.054,2.6666666666666665
TSU,AlphaTauri,10.0,9.0,2.0,2021,Austin,United States Grand Prix,2.008,0.8,94.918,2.6666666666666665
GAS,AlphaTauri,8.0,20.0,0.0,2021,Austin,United States Grand Prix,1.208,-0.8,94.118,3.3333333333333335
GAS,AlphaTauri,5.0,4.0,12.0,2021,Mexico City,Mexico City Grand Prix,0.581,-0.245,76.456,-2.0
TSU,AlphaTauri,17.0,20.0,0.0,2021,Mexico City,Mexico City Grand Prix,0.826,0.245,76.701,2.0000000000000004
GAS,AlphaTauri,7.0,7.0,6.0,2021,São Paulo,São Paulo Grand Prix,0.843,-0.573,68.777,0.6666666666666665
TSU,AlphaTauri,15.0,15.0,0.0,2021,São Paulo,São Paulo Grand Prix,1.416,0.573,69.35,5.333333333333333
GAS,AlphaTauri,2.0,11.0,0.0,2021,Lusail,Qatar Grand Prix,0.813,-0.241,81.64,-2.666666666666667
TSU,AlphaTauri,8.0,13.0,0.0,2021,Lusail,Qatar Grand Prix,1.054,0.241,81.881,-2.0
GAS,AlphaTauri,6.0,6.0,8.0,2021,Jeddah,Saudi Arabian Grand Prix,0.614,-0.097,88.125,-6.0
TSU,AlphaTauri,8.0,14.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,0.711,0.097,88.222,0.6666666666666665
TSU,AlphaTauri,8.0,4.0,12.0,2021,Yas Island,Abu Dhabi Grand Prix,0.902,-0.478,83.011,0.6666666666666665
GAS,AlphaTauri,12.0,5.0,10.0,2021,Yas Island,Abu Dhabi Grand Prix,1.38,0.478,83.489,6.666666666666667
OCO,Alpine,16.0,13.0,0.0,2021,Sakhir,Bahrain Grand Prix,2.727,1.475,91.724,0.0
ALO,Alpine,9.0,19.0,0.0,2021,Sakhir,Bahrain Grand Prix,1.252,-1.475,90.249,0.0
OCO,Alpine,9.0,9.0,2.0,2021,Imola,Emilia Romagna Grand Prix,0.706,-0.476,75.117,0.0
ALO,Alpine,15.0,10.0,1.0,2021,Imola,Emilia Romagna Grand Prix,1.182,0.476,75.593,0.0
OCO,Alpine,6.0,7.0,6.0,2021,Portimão,Portuguese Grand Prix,0.618,-0.87,78.586,0.0
ALO,Alpine,13.0,8.0,4.0,2021,Portimão,Portuguese Grand Prix,1.488,0.87,79.456,3.0
OCO,Alpine,5.0,9.0,2.0,2021,Barcelona,Spanish Grand Prix,0.839,-0.386,77.58,3.0
ALO,Alpine,10.0,17.0,0.0,2021,Barcelona,Spanish Grand Prix,1.225,0.386,77.966,3.0
OCO,Alpine,11.0,9.0,2.0,2021,Monte Carlo,Monaco Grand Prix,1.14,-0.719,71.486,-1.0
ALO,Alpine,17.0,13.0,0.0,2021,Monte Carlo,Monaco Grand Prix,1.859,0.719,72.205,-2.333333333333333
ALO,Alpine,8.0,6.0,8.0,2021,Baku,Azerbaijan Grand Prix,0.977,-0.078,102.195,-3.3333333333333335
OCO,Alpine,12.0,20.0,0.0,2021,Baku,Azerbaijan Grand Prix,1.055,0.078,102.273,1.3333333333333335
ALO,Alpine,9.0,8.0,4.0,2021,Le Castellet,French Grand Prix,1.35,-0.396,91.34,1.3333333333333333
OCO,Alpine,11.0,14.0,0.0,2021,Le Castellet,French Grand Prix,1.746,0.396,91.736,3.3333333333333335
ALO,Alpine,8.0,9.0,2.0,2021,Spielberg,Styrian Grand Prix,0.733,-0.643,64.574,-2.0
OCO,Alpine,17.0,14.0,0.0,2021,Spielberg,Styrian Grand Prix,1.376,0.643,65.217,-0.6666666666666665
ALO,Alpine,14.0,10.0,1.0,2021,Spielberg,Austrian Grand Prix,0.752,-0.579,64.472,-3.3333333333333335
OCO,Alpine,17.0,20.0,0.0,2021,Spielberg,Austrian Grand Prix,1.331,0.579,65.051,-0.33333333333333326
ALO,Alpine,7.0,7.0,6.0,2021,Silverstone,British Grand Prix,1.222,-0.095,87.245,-1.6666666666666667
OCO,Alpine,9.0,9.0,2.0,2021,Silverstone,British Grand Prix,1.317,0.095,87.34,1.666666666666667
OCO,Alpine,8.0,1.0,25.0,2021,Budapest,Hungarian Grand Prix,1.234,0.112,76.653,1.6666666666666665
ALO,Alpine,9.0,4.0,12.0,2021,Budapest,Hungarian Grand Prix,1.122,-0.112,76.541,10.666666666666666
OCO,Alpine,8.0,7.0,3.0,2021,Spa-Francorchamps,Belgian Grand Prix,1.329,-0.851,117.354,10.666666666666666
ALO,Alpine,12.0,11.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,2.18,0.851,118.205,10.666666666666668
ALO,Alpine,9.0,6.0,8.0,2021,Zandvoort,Dutch Grand Prix,1.071,0.037,69.956,-6.0
OCO,Alpine,8.0,9.0,2.0,2021,Zandvoort,Dutch Grand Prix,1.034,-0.037,69.919,-9.333333333333334
ALO,Alpine,10.0,8.0,4.0,2021,Monza,Italian Grand Prix,1.514,-0.034,81.069,-10.0
OCO,Alpine,12.0,10.0,1.0,2021,Monza,Italian Grand Prix,1.548,0.034,81.103,-0.33333333333333304
ALO,Alpine,6.0,6.0,8.0,2021,Sochi,Russian Grand Prix,2.211,-1.661,104.204,-1.333333333333333
OCO,Alpine,9.0,14.0,0.0,2021,Sochi,Russian Grand Prix,3.872,1.661,105.865,0.9999999999999996
OCO,Alpine,12.0,10.0,1.0,2021,Istanbul,Turkish Grand Prix,1.974,1.365,84.842,-1.666666666666667
ALO,Alpine,5.0,16.0,0.0,2021,Istanbul,Turkish Grand Prix,0.609,-1.365,83.477,0.6666666666666665
ALO,Alpine,19.0,18.0,0.0,2021,Austin,United States Grand Prix,2.846,0.379,95.756,-3.9999999999999996
OCO,Alpine,11.0,19.0,0.0,2021,Austin,United States Grand Prix,2.467,-0.379,95.377,-2.6666666666666665
ALO,Alpine,12.0,9.0,2.0,2021,Mexico City,Mexico City Grand Prix,2.577,0.326,78.452,-3.0
OCO,Alpine,19.0,13.0,0.0,2021,Mexico City,Mexico City Grand Prix,2.251,-0.326,78.126,0.3333333333333333
OCO,Alpine,8.0,8.0,4.0,2021,São Paulo,São Paulo Grand Prix,1.255,0.076,69.189,0.3333333333333333
ALO,Alpine,12.0,9.0,2.0,2021,São Paulo,São Paulo Grand Prix,1.179,-0.076,69.113,2.0
ALO,Alpine,3.0,3.0,15.0,2021,Lusail,Qatar Grand Prix,0.843,-0.342,81.67,1.3333333333333335
OCO,Alpine,9.0,5.0,10.0,2021,Lusail,Qatar Grand Prix,1.185,0.342,82.012,6.333333333333333
OCO,Alpine,9.0,4.0,12.0,2021,Jeddah,Saudi Arabian Grand Prix,1.063,-0.346,88.574,7.0
ALO,Alpine,13.0,13.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,1.409,0.346,88.92,10.333333333333334
ALO,Alpine,11.0,8.0,4.0,2021,Yas Island,Abu Dhabi Grand Prix,1.351,0.071,83.46,0.33333333333333304
OCO,Alpine,9.0,9.0,2.0,2021,Yas Island,Abu Dhabi Grand Prix,1.28,-0.071,83.389,-3.666666666666667
STR,Aston Martin,10.0,10.0,1.0,2021,Sakhir,Bahrain Grand Prix,1.604,-1.455,90.601,0.0
VET,Aston Martin,20.0,15.0,0.0,2021,Sakhir,Bahrain Grand Prix,3.059,1.455,92.056,0.0
STR,Aston Martin,10.0,8.0,4.0,2021,Imola,Emilia Romagna Grand Prix,0.727,-0.256,75.138,0.0
VET,Aston Martin,0.0,15.0,0.0,2021,Imola,Emilia Romagna Grand Prix,0.983,0.256,75.394,0.0
VET,Aston Martin,10.0,13.0,0.0,2021,Portimão,Portuguese Grand Prix,1.002,-0.943,78.97,0.0
STR,Aston Martin,17.0,14.0,0.0,2021,Portimão,Portuguese Grand Prix,1.945,0.943,79.913,0.8333333333333333
STR,Aston Martin,11.0,11.0,0.0,2021,Barcelona,Spanish Grand Prix,1.233,-0.105,77.974,-1.6666666666666667
VET,Aston Martin,13.0,13.0,0.0,2021,Barcelona,Spanish Grand Prix,1.338,0.105,78.079,-1.3333333333333333
VET,Aston Martin,8.0,5.0,10.0,2021,Monte Carlo,Monaco Grand Prix,0.963,-0.291,71.309,-1.3333333333333333
STR,Aston Martin,13.0,8.0,4.0,2021,Monte Carlo,Monaco Grand Prix,1.254,0.291,71.6,3.3333333333333335
VET,Aston Martin,11.0,2.0,18.0,2021,Baku,Azerbaijan Grand Prix,1.006,0.0,102.224,4.666666666666667
STR,Aston Martin,19.0,19.0,0.0,2021,Baku,Azerbaijan Grand Prix,2.0,0.0,82.3725,10.666666666666666
VET,Aston Martin,12.0,9.0,2.0,2021,Le Castellet,French Grand Prix,1.777,-0.355,91.767,3.9999999999999996
STR,Aston Martin,19.0,10.0,1.0,2021,Le Castellet,French Grand Prix,2.132,0.355,92.122,2.0
STR,Aston Martin,9.0,8.0,4.0,2021,Spielberg,Styrian Grand Prix,0.822,-0.048,64.663,-9.666666666666666
VET,Aston Martin,14.0,12.0,0.0,2021,Spielberg,Styrian Grand Prix,0.87,0.048,64.711,-5.0
STR,Aston Martin,9.0,13.0,0.0,2021,Spielberg,Austrian Grand Prix,0.827,0.054,64.547,-5.0
VET,Aston Martin,11.0,17.0,0.0,2021,Spielberg,Austrian Grand Prix,0.773,-0.054,64.493,0.33333333333333326
STR,Aston Martin,14.0,8.0,4.0,2021,Silverstone,British Grand Prix,1.642,0.562,87.665,-2.3333333333333335
VET,Aston Martin,8.0,19.0,0.0,2021,Silverstone,British Grand Prix,1.08,-0.562,87.103,-0.3333333333333335
STR,Aston Martin,12.0,19.0,0.0,2021,Budapest,Hungarian Grand Prix,1.474,0.143,76.893,0.0
VET,Aston Martin,10.0,20.0,0.0,2021,Budapest,Hungarian Grand Prix,1.331,-0.143,76.75,1.3333333333333333
VET,Aston Martin,5.0,5.0,5.0,2021,Spa-Francorchamps,Belgian Grand Prix,0.789,-1.417,116.814,-1.3333333333333333
STR,Aston Martin,19.0,20.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,2.206,1.417,118.231,0.3333333333333335
STR,Aston Martin,12.0,12.0,0.0,2021,Zandvoort,Dutch Grand Prix,1.482,-0.364,70.367,0.3333333333333335
VET,Aston Martin,15.0,13.0,0.0,2021,Zandvoort,Dutch Grand Prix,1.846,0.364,70.731,1.6666666666666667
STR,Aston Martin,9.0,7.0,6.0,2021,Monza,Italian Grand Prix,1.465,0.107,81.02,-1.6666666666666667
VET,Aston Martin,11.0,12.0,0.0,2021,Monza,Italian Grand Prix,1.358,-0.107,80.913,0.33333333333333326
STR,Aston Martin,7.0,11.0,0.0,2021,Sochi,Russian Grand Prix,2.963,-1.617,104.956,0.33333333333333326
VET,Aston Martin,10.0,12.0,0.0,2021,Sochi,Russian Grand Prix,4.58,1.617,106.573,2.0
STR,Aston Martin,8.0,9.0,2.0,2021,Istanbul,Turkish Grand Prix,1.437,-0.49,84.305,-2.0
VET,Aston Martin,10.0,18.0,0.0,2021,Istanbul,Turkish Grand Prix,1.927,0.49,84.795,-1.3333333333333335
VET,Aston Martin,18.0,10.0,1.0,2021,Austin,United States Grand Prix,2.371,-0.702,95.281,-1.3333333333333335
STR,Aston Martin,13.0,12.0,0.0,2021,Austin,United States Grand Prix,3.073,0.702,95.983,1.0
VET,Aston Martin,9.0,7.0,6.0,2021,Mexico City,Mexico City Grand Prix,1.627,-3.371,77.502,-0.3333333333333333
STR,Aston Martin,20.0,14.0,0.0,2021,Mexico City,Mexico City Grand Prix,4.998,3.371,80.873,1.666666666666667
VET,Aston Martin,9.0,11.0,0.0,2021,São Paulo,São Paulo Grand Prix,1.465,-0.264,69.399,1.0
STR,Aston Martin,14.0,20.0,0.0,2021,São Paulo,São Paulo Grand Prix,1.729,0.264,69.663,1.6666666666666667
STR,Aston Martin,12.0,6.0,8.0,2021,Lusail,Qatar Grand Prix,1.633,0.314,82.46,-2.3333333333333335
VET,Aston Martin,10.0,10.0,1.0,2021,Lusail,Qatar Grand Prix,1.319,-0.314,82.146,0.6666666666666665
STR,Aston Martin,18.0,11.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,1.857,0.17,89.368,1.0
VET,Aston Martin,17.0,16.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,1.687,-0.17,89.198,3.0
VET,Aston Martin,15.0,11.0,0.0,2021,Yas Island,Abu Dhabi Grand Prix,2.116,0.164,84.225,-2.333333333333333
STR,Aston Martin,13.0,13.0,0.0,2021,Yas Island,Abu Dhabi Grand Prix,1.952,-0.164,84.061,-3.0
LEC,Ferrari,4.0,6.0,8.0,2021,Sakhir,Bahrain Grand Prix,0.681,-0.331,89.678,0.0
SAI,Ferrari,8.0,8.0,4.0,2021,Sakhir,Bahrain Grand Prix,1.012,0.331,90.009,0.0
LEC,Ferrari,4.0,4.0,12.0,2021,Imola,Emilia Romagna Grand Prix,0.329,-0.459,74.74,0.0
SAI,Ferrari,11.0,5.0,10.0,2021,Imola,Emilia Romagna Grand Prix,0.788,0.459,75.199,0.0
LEC,Ferrari,8.0,6.0,8.0,2021,Portimão,Portuguese Grand Prix,0.801,-0.044,78.769,0.0
SAI,Ferrari,5.0,11.0,0.0,2021,Portimão,Portuguese Grand Prix,0.845,0.044,78.813,4.0
LEC,Ferrari,4.0,4.0,12.0,2021,Barcelona,Spanish Grand Prix,0.769,-0.11,77.51,-2.0
SAI,Ferrari,6.0,7.0,6.0,2021,Barcelona,Spanish Grand Prix,0.879,0.11,77.62,-1.9999999999999991
SAI,Ferrari,4.0,2.0,18.0,2021,Monte Carlo,Monaco Grand Prix,0.265,0.265,70.611,-4.0
LEC,Ferrari,1.0,20.0,0.0,2021,Monte Carlo,Monaco Grand Prix,0.0,-0.265,70.346,6.0
LEC,Ferrari,1.0,4.0,12.0,2021,Baku,Azerbaijan Grand Prix,0.0,-0.358,101.218,1.333333333333333
SAI,Ferrari,5.0,8.0,4.0,2021,Baku,Azerbaijan Grand Prix,0.358,0.358,101.576,4.0
SAI,Ferrari,5.0,11.0,0.0,2021,Le Castellet,French Grand Prix,0.85,-0.147,90.84,-6.666666666666667
LEC,Ferrari,7.0,16.0,0.0,2021,Le Castellet,French Grand Prix,0.997,0.147,90.987,-2.666666666666667
SAI,Ferrari,12.0,6.0,8.0,2021,Spielberg,Styrian Grand Prix,0.87,0.239,64.711,-8.666666666666666
LEC,Ferrari,7.0,7.0,6.0,2021,Spielberg,Styrian Grand Prix,0.631,-0.239,64.472,-2.6666666666666665
SAI,Ferrari,10.0,5.0,10.0,2021,Spielberg,Austrian Grand Prix,0.839,-0.041,64.559,-0.6666666666666661
LEC,Ferrari,12.0,8.0,4.0,2021,Spielberg,Austrian Grand Prix,0.88,0.041,64.6,6.666666666666667
LEC,Ferrari,4.0,2.0,18.0,2021,Silverstone,British Grand Prix,0.805,-0.02,86.828,4.0
SAI,Ferrari,10.0,6.0,8.0,2021,Silverstone,British Grand Prix,0.825,0.02,86.848,5.999999999999999
SAI,Ferrari,15.0,3.0,15.0,2021,Budapest,Hungarian Grand Prix,1.23,0.153,76.649,2.0
LEC,Ferrari,7.0,18.0,0.0,2021,Budapest,Hungarian Grand Prix,1.077,-0.153,76.496,6.999999999999999
LEC,Ferrari,9.0,8.0,2.0,2021,Spa-Francorchamps,Belgian Grand Prix,1.696,-0.416,117.721,-2.999999999999999
SAI,Ferrari,11.0,10.0,0.5,2021,Spa-Francorchamps,Belgian Grand Prix,2.112,0.416,118.137,-4.333333333333333
LEC,Ferrari,5.0,5.0,10.0,2021,Zandvoort,Dutch Grand Prix,0.552,-0.1,69.437,-12.833333333333332
SAI,Ferrari,6.0,7.0,6.0,2021,Zandvoort,Dutch Grand Prix,0.652,0.1,69.537,-3.5
LEC,Ferrari,5.0,4.0,12.0,2021,Monza,Italian Grand Prix,0.955,0.048,80.51,-0.16666666666666696
SAI,Ferrari,6.0,6.0,8.0,2021,Monza,Italian Grand Prix,0.907,-0.048,80.462,8.5
SAI,Ferrari,2.0,3.0,15.0,2021,Sochi,Russian Grand Prix,0.517,-5.96,102.51,4.499999999999999
LEC,Ferrari,19.0,15.0,0.0,2021,Sochi,Russian Grand Prix,6.477,5.96,108.47,6.166666666666666
LEC,Ferrari,3.0,4.0,12.0,2021,Istanbul,Turkish Grand Prix,0.397,-1.912,83.265,-1.666666666666667
SAI,Ferrari,19.0,8.0,4.0,2021,Istanbul,Turkish Grand Prix,2.309,1.912,85.177,0.3333333333333339
LEC,Ferrari,4.0,4.0,12.0,2021,Austin,United States Grand Prix,0.696,-0.186,93.606,-6.333333333333333
SAI,Ferrari,5.0,7.0,6.0,2021,Austin,United States Grand Prix,0.882,0.186,93.792,1.666666666666667
LEC,Ferrari,8.0,5.0,10.0,2021,Mexico City,Mexico City Grand Prix,0.873,-0.013,76.748,-1.666666666666667
SAI,Ferrari,6.0,6.0,8.0,2021,Mexico City,Mexico City Grand Prix,0.886,0.013,76.761,4.000000000000001
LEC,Ferrari,6.0,5.0,10.0,2021,São Paulo,São Paulo Grand Prix,0.925,0.033,68.859,-1.333333333333334
SAI,Ferrari,3.0,6.0,8.0,2021,São Paulo,São Paulo Grand Prix,0.892,-0.033,68.826,2.000000000000001
SAI,Ferrari,5.0,7.0,6.0,2021,Lusail,Qatar Grand Prix,1.013,-0.623,81.84,-0.6666666666666679
LEC,Ferrari,13.0,8.0,4.0,2021,Lusail,Qatar Grand Prix,1.636,0.623,82.463,0.0
LEC,Ferrari,4.0,7.0,6.0,2021,Jeddah,Saudi Arabian Grand Prix,0.543,-0.183,88.054,-3.333333333333334
