Abbreviation,TeamName,GridPosition,Position,Points,Year,Circuit,RaceName,QualiDeltaToPole,QualiDeltaToTeammate,QualiBestTimeSec,TeamMomentum,Podium,Win,DNF,DriverForm3,DriverForm5,QualifyingForm3,QualifyingForm5,AverageFinish,AverageGrid,GridGain,AverageGridGain,PodiumRate,WinRate,PointsMomentum,TeamForm,CircuitHistory,DNFRisk,Consistency,Experience,FrontRow,TopFive,TeamGridInteraction
GAS,AlphaTauri,0.0,19.0,0.0,2021,Monza,Italian Grand Prix,0.705,-1.451,80.26,-3.666666666666667,0,0,0,5.0,7.0,5.0,6.4,8.846153846153847,6.538461538461538,-19.0,-0.6,0.07692307692307693,0.0,5.8,5.8,10.5,0.0,2.9154759474226486,13.0,1,1,5.8
GAS,AlphaTauri,11.0,13.0,0.0,2021,Sochi,Russian Grand Prix,4.648,-0.11,106.641,-5.333333333333333,0,0,0,9.666666666666666,9.0,3.3333333333333335,5.2,9.571428571428571,6.071428571428571,-2.0,-3.8,0.07142857142857142,0.0,5.4,5.4,10.5,0.0,6.204836822995428,14.0,0,0,0.45
GAS,AlphaTauri,4.0,6.0,8.0,2021,Istanbul,Turkish Grand Prix,0.458,-0.728,83.326,-4.0,0,0,0,12.0,9.4,5.0,5.2,9.8,6.4,-2.0,-4.2,0.06666666666666667,0.0,5.4,5.4,10.5,0.0,6.426507605223851,15.0,0,1,1.08
GAS,AlphaTauri,8.0,20.0,0.0,2021,Austin,United States Grand Prix,1.208,-0.8,94.118,3.333333333333333,0,0,0,12.666666666666666,9.6,5.0,5.0,9.5625,6.25,-12.0,-4.6,0.06666666666666667,0.0,4.8,4.8,10.5,0.0,6.26897120746299,16.0,0,0,0.5333333333333333
GAS,AlphaTauri,5.0,4.0,12.0,2021,Mexico City,Mexico City Grand Prix,0.581,-0.245,76.456,-2.0,0,0,0,13.0,12.4,7.666666666666667,5.4,10.176470588235293,6.352941176470588,1.0,-7.0,0.06666666666666667,0.0,4.0,4.0,10.5,0.0,7.300684899377591,17.0,0,1,0.6666666666666666
GAS,AlphaTauri,7.0,7.0,6.0,2021,São Paulo,São Paulo Grand Prix,0.843,-0.573,68.777,0.6666666666666665,0,0,0,10.0,12.4,5.666666666666667,5.6,9.833333333333334,6.277777777777778,0.0,-6.8,0.06666666666666667,0.0,4.0,4.0,10.5,0.0,7.300684899377591,18.0,0,0,0.5
GAS,AlphaTauri,2.0,11.0,0.0,2021,Lusail,Qatar Grand Prix,0.813,-0.241,81.64,-2.666666666666667,0,0,0,10.333333333333334,10.0,6.666666666666667,7.0,9.68421052631579,6.315789473684211,-9.0,-3.0,0.06666666666666667,0.0,5.2,5.2,10.5,0.0,6.519202405202647,19.0,1,1,1.7333333333333334
GAS,AlphaTauri,6.0,6.0,8.0,2021,Jeddah,Saudi Arabian Grand Prix,0.614,-0.097,88.125,-6.0,0,0,0,7.333333333333333,9.6,4.666666666666667,5.2,9.75,6.1,0.0,-4.4,0.06666666666666667,0.0,5.2,5.2,10.5,0.0,6.34822809924155,20.0,0,0,0.7428571428571429
GAS,AlphaTauri,12.0,5.0,10.0,2021,Yas Island,Abu Dhabi Grand Prix,1.38,0.478,83.489,6.666666666666667,0,0,0,8.0,9.6,5.0,5.6,9.571428571428571,6.095238095238095,7.0,-4.0,0.0,0.0,5.2,5.2,10.5,0.0,6.34822809924155,21.0,0,0,0.4
HAM,Mercedes,2.0,1.0,25.0,2021,Sakhir,Bahrain Grand Prix,0.388,-0.201,89.385,0.0,1,1,0,10.5,10.5,10.5,10.5,10.5,10.5,1.0,0.0,0.0,0.0,0.0,7.6,10.5,0.1,10.5,0.0,1,1,2.533333333333333
HAM,Mercedes,1.0,2.0,19.0,2021,Imola,Emilia Romagna Grand Prix,0.0,-0.261,74.411,0.0,1,0,0,1.0,1.0,2.0,2.0,1.0,2.0,-1.0,1.0,1.0,1.0,25.0,12.6,10.5,0.0,10.5,1.0,1,1,6.3
HAM,Mercedes,2.0,1.0,25.0,2021,Portimão,Portuguese Grand Prix,0.0,-0.38,77.968,0.0,1,1,0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,0.0,1.0,0.5,22.0,13.4,10.5,0.0,10.5,2.0,1,1,4.466666666666667
HAM,Mercedes,1.0,1.0,25.0,2021,Barcelona,Spanish Grand Prix,0.0,-0.132,76.741,-6.333333333333334,1,1,0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,1.0,0.6666666666666666,23.0,18.4,10.5,0.0,0.5773502691896257,3.0,1,1,9.2
HAM,Mercedes,7.0,7.0,7.0,2021,Monte Carlo,Monaco Grand Prix,0.749,0.494,71.095,4.000000000000002,0,0,0,1.3333333333333333,1.25,1.3333333333333333,1.5,1.25,1.5,0.0,0.25,1.0,0.75,23.5,20.4,10.5,0.0,0.5,4.0,0,0,2.55
HAM,Mercedes,2.0,15.0,0.0,2021,Baku,Azerbaijan Grand Prix,0.232,-0.656,101.45,-16.333333333333336,0,0,0,3.0,2.4,3.3333333333333335,2.6,2.4,2.6,-13.0,0.2,0.8,0.6,20.2,20.2,10.5,0.0,2.6076809620810595,5.0,1,1,6.733333333333333
HAM,Mercedes,2.0,2.0,18.0,2021,Le Castellet,French Grand Prix,0.258,-0.128,90.248,-15.666666666666666,1,0,0,7.666666666666667,5.2,3.3333333333333335,2.6,4.5,2.5,0.0,-2.6,0.6666666666666666,0.5,15.2,15.2,10.5,0.0,6.016643582596529,6.0,1,1,5.066666666666666
HAM,Mercedes,2.0,2.0,19.0,2021,Spielberg,Styrian Grand Prix,0.226,0.032,64.067,7.666666666666666,1,0,0,8.0,5.2,3.6666666666666665,2.8,4.142857142857143,2.4285714285714284,0.0,-2.4,0.7142857142857143,0.42857142857142855,15.0,15.0,10.5,0.0,6.016643582596529,7.0,1,1,5.0
HAM,Mercedes,4.0,4.0,12.0,2021,Spielberg,Austrian Grand Prix,0.294,-0.035,64.014,7.333333333333332,0,0,0,6.333333333333333,5.4,2.0,2.8,3.875,2.375,0.0,-2.6,0.75,0.375,13.8,13.8,2.0,0.0,5.856620185738529,8.0,0,1,2.7600000000000002
HAM,Mercedes,2.0,1.0,25.0,2021,Silverstone,British Grand Prix,0.0,-0.305,86.023,-1.333333333333332,1,1,0,2.6666666666666665,6.0,2.6666666666666665,3.4,3.888888888888889,2.5555555555555554,1.0,-2.6,0.6666666666666666,0.3333333333333333,11.2,11.2,10.5,0.0,5.431390245600108,9.0,1,1,3.733333333333333
HAM,Mercedes,1.0,2.0,18.0,2021,Budapest,Hungarian Grand Prix,0.0,-0.315,75.419,0.0,1,0,0,2.3333333333333335,4.8,2.6666666666666665,2.4,3.6,2.5,-1.0,-2.4,0.7,0.4,14.8,14.8,10.5,0.0,5.805170109479997,10.0,1,1,7.4
HAM,Mercedes,3.0,3.0,7.5,2021,Spa-Francorchamps,Belgian Grand Prix,0.204,-0.066,116.229,-7.333333333333332,1,0,0,2.3333333333333335,2.2,2.3333333333333335,2.2,3.4545454545454546,2.3636363636363638,0.0,0.0,0.7272727272727273,0.36363636363636365,18.4,18.4,10.5,0.0,1.0954451150103355,11.0,0,1,4.6
HAM,Mercedes,2.0,2.0,19.0,2021,Zandvoort,Dutch Grand Prix,0.038,-0.299,68.923,-16.833333333333332,1,0,0,2.0,2.4,2.0,2.4,3.4166666666666665,2.4166666666666665,0.0,0.0,0.75,0.3333333333333333,16.3,16.3,10.5,0.0,1.1401754250991412,12.0,1,1,5.433333333333334
HAM,Mercedes,4.0,17.0,0.0,2021,Monza,Italian Grand Prix,0.096,0.096,79.651,13.833333333333332,0,0,0,2.3333333333333335,2.4,2.0,2.4,3.3076923076923075,2.3846153846153846,-13.0,0.0,0.7692307692307693,0.3076923076923077,16.3,16.3,10.5,0.0,1.1401754250991412,13.0,0,1,3.2600000000000002
HAM,Mercedes,4.0,1.0,25.0,2021,Sochi,Russian Grand Prix,2.057,-0.66,104.05,1.166666666666666,1,1,0,7.333333333333333,5.0,3.0,2.4,4.285714285714286,2.5,3.0,-2.6,0.7142857142857143,0.2857142857142857,13.9,13.9,10.5,0.0,6.745368781616021,14.0,0,1,2.7800000000000002
HAM,Mercedes,11.0,5.0,10.0,2021,Istanbul,Turkish Grand Prix,0.0,-0.13,82.868,10.333333333333332,0,0,0,6.666666666666667,5.0,3.3333333333333335,2.8,4.066666666666666,2.6,6.0,-2.2,0.7333333333333333,0.3333333333333333,13.9,13.9,10.5,0.0,6.745368781616021,15.0,0,0,1.1583333333333334
HAM,Mercedes,2.0,2.0,19.0,2021,Austin,United States Grand Prix,0.209,-0.356,93.119,2.0,1,0,0,7.666666666666667,5.6,6.333333333333333,4.8,4.125,3.125,0.0,-0.8,0.6666666666666666,0.26666666666666666,12.3,12.3,10.5,0.0,6.542170893518451,16.0,1,1,4.1000000000000005
HAM,Mercedes,2.0,2.0,18.0,2021,Mexico City,Mexico City Grand Prix,0.145,0.145,76.02,-7.999999999999998,1,0,0,2.6666666666666665,5.4,5.666666666666667,4.6,4.0,3.0588235294117645,0.0,-0.8,0.6666666666666666,0.26666666666666666,14.6,14.6,10.5,0.0,6.6558245169174945,17.0,1,1,4.866666666666666
